1.0,-1.9971245,5.818767619118194e-05
1.2,-1.9886575,0.00014596660576606554
1.4,-1.9681155,0.000192019169024382
1.6,-1.9273785,0.00026524417490687336
1.8,-1.8585395,0.0003979904031695984
2.0,-1.754971,0.0006935027036456186
2.1,-1.690064,0.000867436452990429
2.2,-1.618932,0.0010136241907388903
2.3,-1.539856,0.001437599812964989
2.4,-1.4584855,0.001297185939298289
2.6,-1.2998415,0.0014963448150605038
2.8,-1.147823,0.0015897323673969058
3.0,-1.0175705,0.0011284570217725983
3.25,-0.8819385,0.0010037670850792121
3.5,-0.7764455,0.0014501090859395723
3.75,-0.6930865,0.0012445992326901105
4.0,-0.625862,0.0007696392372713012
4.25,-0.572356,0.001463583463813091
4.5,-0.526291,0.0009342215416443344
4.75,-0.4891735,0.0015171416930115508
5.0,-0.454564,0.0013595885406959202
